method_order,method,pruning_pct,n,n_trained_networks,raw_run_count,pruning_seed_replicates_per_network_min,pruning_seed_replicates_per_network_max,post_rec_ct_abscissa_mean,post_rec_ct_abscissa_sd,post_rec_ct_abscissa_sem,abs_post_rec_ct_abscissa_mean,abs_post_rec_ct_abscissa_sd,abs_post_rec_ct_abscissa_sem,raw_post_rec_ct_abscissa_mean,raw_abs_post_rec_ct_abscissa_mean
1,Random,50,24,24,72,3,3,0.270954693098449,0.2985467207556657,0.06094059418604641,0.2718900985394915,0.2977884263749991,0.06078580799375866,0.27095469309844905,0.2718900985394915
1,Random,60,24,24,72,3,3,0.1084883392128783,0.19805344716699302,0.04042749061319996,0.12472194453261583,0.18879455831194716,0.03853752783986627,0.10848833921287829,0.12472194453261581
1,Random,70,24,24,72,3,3,-0.05138689670194351,0.10925461880912381,0.022301505677052906,0.10601708083413537,0.05742979728630808,0.011722808281910737,-0.05138689670194351,0.10601708083413537
1,Random,80,24,24,72,3,3,-0.2390408452807201,0.03758570680349857,0.007672150274202139,0.2390408452807201,0.03758570680349857,0.007672150274202139,-0.23904084528072012,0.23904084528072012
2,Magnitude,50,24,24,24,1,1,1.04018134282281,0.768984074475371,0.15696821689925308,1.04018134282281,0.768984074475371,0.15696821689925308,1.04018134282281,1.04018134282281
2,Magnitude,60,24,24,24,1,1,1.0089506210448842,0.7244828948824762,0.14788445165304076,1.0089506210448842,0.7244828948824762,0.14788445165304076,1.0089506210448842,1.0089506210448842
2,Magnitude,70,24,24,24,1,1,0.9712164450126389,0.6898740465251558,0.1408199500646412,0.9712164450126389,0.6898740465251558,0.1408199500646412,0.9712164450126389,0.9712164450126389
2,Magnitude,80,24,24,24,1,1,0.9364254704366127,0.6332916371987228,0.1292701141257198,0.9364254704366127,0.6332916371987228,0.1292701141257198,0.9364254704366127,0.9364254704366127
3,OBS compensated,50,24,24,24,1,1,1.0204158773024876,0.6748286193043551,0.137748815093546,1.0204158773024876,0.6748286193043551,0.137748815093546,1.0204158773024876,1.0204158773024876
3,OBS compensated,60,24,24,24,1,1,0.9631326173742613,0.5554286815420758,0.11337640485707492,0.9631326173742613,0.5554286815420758,0.11337640485707492,0.9631326173742613,0.9631326173742613
3,OBS compensated,70,24,24,24,1,1,0.9236518647521734,0.45885005775131227,0.09366237582810903,0.9236518647521734,0.45885005775131227,0.09366237582810903,0.9236518647521734,0.9236518647521734
3,OBS compensated,80,24,24,24,1,1,0.9244085736572742,0.4281744140149048,0.08740073627097561,0.9244085736572742,0.4281744140149048,0.08740073627097561,0.9244085736572742,0.9244085736572742
4,L-NP mask,50,24,24,24,1,1,1.00775523049136,0.7074171566996319,0.14440092243371572,1.00775523049136,0.7074171566996319,0.14440092243371572,1.00775523049136,1.00775523049136
4,L-NP mask,60,24,24,24,1,1,0.9680857863277197,0.6615211954273319,0.13503244856940966,0.9680857863277197,0.6615211954273319,0.13503244856940966,0.9680857863277197,0.9680857863277197
4,L-NP mask,70,24,24,24,1,1,0.9541870995114247,0.6098491228075776,0.12448493091354003,0.9541870995114247,0.6098491228075776,0.12448493091354003,0.9541870995114247,0.9541870995114247
4,L-NP mask,80,24,24,24,1,1,1.0004974893139054,0.5889781038060239,0.12022465199972847,1.0004974893139054,0.5889781038060239,0.12022465199972847,1.0004974893139054,1.0004974893139054
5,L-NP rescale,50,24,24,72,3,3,1.2206488748391469,0.7533504577843524,0.15377701825531526,1.2206488748391469,0.7533504577843524,0.15377701825531526,1.2206488748391469,1.2206488748391469
5,L-NP rescale,60,24,24,72,3,3,1.3592233318421576,0.6962186078628029,0.14211502822455996,1.3592233318421576,0.6962186078628029,0.14211502822455996,1.3592233318421576,1.3592233318421576
5,L-NP rescale,70,24,24,72,3,3,1.6332345025406942,0.569514119330246,0.11625158280580271,1.6332345025406942,0.569514119330246,0.11625158280580271,1.6332345025406942,1.6332345025406942
5,L-NP rescale,80,24,24,72,3,3,2.181939529048072,0.38386495687106026,0.07835610620579743,2.181939529048072,0.38386495687106026,0.07835610620579743,2.181939529048072,2.181939529048072
6,S-NP mask,50,24,24,72,3,3,0.9253320785032377,0.7257429839368064,0.14814166625417202,0.9253320785032377,0.7257429839368064,0.14814166625417202,0.9253320785032378,0.9253320785032378
6,S-NP mask,60,24,24,72,3,3,0.8490617114843594,0.6725502070011795,0.13728373612967437,0.8490617114843594,0.6725502070011795,0.13728373612967437,0.8490617114843594,0.8490617114843594
6,S-NP mask,70,24,24,72,3,3,0.8271702877763246,0.6143514900656125,0.12540397278160662,0.8271702877763246,0.6143514900656125,0.12540397278160662,0.8271702877763245,0.8271702877763245
6,S-NP mask,80,24,24,72,3,3,0.7579631585524313,0.597329659046554,0.12192940607455893,0.7579631585524313,0.597329659046554,0.12192940607455893,0.7579631585524313,0.7579631585524313
7,S-NP rescale,50,24,24,72,3,3,1.2079481722580063,0.7387562313034419,0.1507979842495782,1.2079481722580063,0.7387562313034419,0.1507979842495782,1.207948172258006,1.207948172258006
7,S-NP rescale,60,24,24,72,3,3,1.3400114816096094,0.6607403287978907,0.13487305483613482,1.3400114816096094,0.6607403287978907,0.13487305483613482,1.3400114816096094,1.3400114816096094
7,S-NP rescale,70,24,24,72,3,3,1.5921427839332158,0.5321645395366407,0.1086276317556612,1.5921427839332158,0.5321645395366407,0.1086276317556612,1.5921427839332156,1.5921427839332156
7,S-NP rescale,80,24,24,72,3,3,2.1047522889243235,0.32278574145824007,0.06588836356821849,2.1047522889243235,0.32278574145824007,0.06588836356821849,2.104752288924323,2.104752288924323
